url,title,site,cook_time_val,cook_time_unit,prep_time_val,prep_time_unit,total_time_val,total_time_unit,rating
https://www.seriouseats.com/recipes/2013/07/strawberry-conserves-canal-house-cooks.html,Strawberry Conserves from 'Canal House Cooks Every Day',seriouseats,375.0,min,45.0,min,420.0,min,4
https://www.seriouseats.com/recipes/2013/07/composed-summer-salad-lemon-aioli-canal-house-cookbook.html,Composed Summer Salad with Lemony Aioli from 'Canal House Cooks Every Day',seriouseats,1.0,min,20.0,min,21.0,min,-1
https://www.seriouseats.com/recipes/2012/11/smitten-kitchens-big-cluster-maple-granola.html,'Smitten Kitchen's Big Cluster Maple Granola Recipe,seriouseats,50.0,min,10.0,min,60.0,min,4.5
https://www.seriouseats.com/recipes/2012/04/peanut-butter-granola-snack-cake-recipe.html,Peanut Butter Granola Snack Cake Recipe,seriouseats,60.0,min,30.0,min,90.0,min,-1
https://www.seriouseats.com/recipes/2013/07/basil-and-parsley-pesto-with-anchovies-from-canal-house-cooks-every-day-recipe.html,Basil and Parsley Pesto with Anchovies from 'Canal House Cooks Every Day',seriouseats,0.0,min,15.0,min,15.0,min,-1
https://www.seriouseats.com/recipes/2017/01/easy-raisin-bran-muffin-recipe.html,Raisin Bran Muffins Recipe,seriouseats,25.0,min,10.0,min,35.0,min,4.75
https://www.seriouseats.com/recipes/2017/03/chocolate-digestive-biscuits-mcvities-recipe.html,Chocolate-Covered Digestive Biscuits (McVities) Recipe,seriouseats,0.0,min,60.0,min,60.0,min,-1
https://www.seriouseats.com/recipes/2013/01/boozy-berry-parfait-recipe.html,Boozy Berry Parfait Recipe,seriouseats,0.0,min,15.0,min,15.0,min,-1
https://www.seriouseats.com/recipes/2012/09/malted-milk-toffee-crunch-ice-cream-recipe.html,Malted Milk Toffee Crunch Ice Cream Recipe,seriouseats,30.0,min,20.0,min,50.0,min,-1
https://www.seriouseats.com/recipes/2013/03/tomato-mint-sauce-recipe.html,Tomato-Mint Sauce Recipe,seriouseats,15.0,min,15.0,min,30.0,min,-1
https://www.seriouseats.com/recipes/2013/08/hummingbird-pudding-cake.html,Hummingbird Pudding Cake Recipe,seriouseats,165.0,min,15.0,min,180.0,min,4.1666666666667
https://www.seriouseats.com/recipes/2010/10/new-york-style-pizza.html,New York-Style Pizza Recipe,seriouseats,1410.0,min,30.0,min,1440.0,min,4.7407407407407
https://www.seriouseats.com/recipes/2011/01/cooks-illustrated-thin-crust-new-york-ny-pizza-recipe.html,Cook's Illustrated's Thin-Crust Pizza Recipe,seriouseats,1470.0,min,30.0,min,1500.0,min,4.7
https://www.seriouseats.com/recipes/2011/04/royal-chocolate-biscuit-cake-recipe.html,Royal Chocolate McVitie's Biscuit Cake Recipe,seriouseats,240.0,min,30.0,min,270.0,min,-1
https://www.seriouseats.com/recipes/2012/07/turkey-and-porcini-meatballs-with-rosemary-and-polenta-recipe.html,Turkey and Porcini Meatballs with Rosemary and Polenta Recipe,seriouseats,15.0,min,30.0,min,45.0,min,-1
https://www.seriouseats.com/recipes/2011/08/bread-baking-pepper-and-jack-beer-bread-recipe.html,Bread Baking: Pepper and Jack Beer Bread Recipe,seriouseats,60.0,min,15.0,min,75.0,min,-1
https://www.seriouseats.com/recipes/2011/07/beer-bread-with-onions-recipe.html,Sunday Brunch: Beer Bread with Onions Recipe,seriouseats,50.0,min,10.0,min,60.0,min,4
https://www.seriouseats.com/recipes/2010/05/how-to-make-grilled-pizza-napoletana-on-a-barbecue-recipe.html,Grilled Pizza Napoletana Recipe,seriouseats,90.0,min,30.0,min,120.0,min,-1
https://www.seriouseats.com/recipes/2014/02/easy-frosted-valentines-brownies.html,Easy Frosted Valentine's Brownies Recipe,seriouseats,0.0,min,30.0,min,30.0,min,-1
https://www.seriouseats.com/recipes/2012/02/gluten-free-chocolate-cake-quick-recipe.html,Gluten-Free Chocolate Cake Recipe,seriouseats,25.0,min,5.0,min,30.0,min,-1
https://www.seriouseats.com/recipes/2012/03/chocolate-ginger-peach-icebox-cake-recipe.html,Chocolate Ginger Peach Icebox Cake Recipe,seriouseats,480.0,min,90.0,min,570.0,min,-1
https://www.seriouseats.com/recipes/2012/10/champurrado-mexican-chocolate-atole-recipe.html,Champurrado (Mexican Chocolate Atole) Recipe,seriouseats,0.0,min,15.0,min,15.0,min,-1
https://www.seriouseats.com/recipes/2011/06/shrimp-and-grits-with-arugula-recipe.html,Dinner Tonight: Shrimp and Grits with Arugula Recipe,seriouseats,0.0,min,30.0,min,30.0,min,-1
https://www.seriouseats.com/recipes/2012/09/creamy-chocolate-tapioca-pudding-recipe.html,Creamy Chocolate Tapioca Pudding Recipe,seriouseats,180.0,min,30.0,min,210.0,min,-1
https://www.seriouseats.com/recipes/2018/05/german-buttercream-whipped-vanilla-custard-frosting.html,German Buttercream (Whipped Vanilla Custard Frosting) Recipe,seriouseats,135.0,min,45.0,min,180.0,min,5
https://www.seriouseats.com/recipes/2019/03/creamy-banana-frosting-recipe.html,Creamy Banana Frosting (Italian Buttercream) Recipe,seriouseats,15.0,min,35.0,min,50.0,min,5
https://www.seriouseats.com/recipes/2018/09/homemade-klondike-ice-cream-bars-recipe.html,Homemade Klondike Bars Recipe,seriouseats,720.0,min,60.0,min,780.0,min,5
https://www.seriouseats.com/recipes/2016/11/easy-swiss-meringue-recipe.html,Perfect Swiss Meringue Recipe,seriouseats,5.0,min,25.0,min,30.0,min,4.2727272727273
https://www.seriouseats.com/recipes/2015/04/easy-pan-roasted-chicken-breast-lemon-rosemary-pan-sauce-recipe.html,Easy Pan-Roasted Chicken Breasts With Lemon and Rosemary Pan Sauce Recipe,seriouseats,10.0,min,20.0,min,30.0,min,4.75
https://www.seriouseats.com/recipes/2018/09/homemade-strawberry-shortcake-ice-cream-bar-recipe.html,Homemade Strawberry Shortcake Ice Cream Bars Recipe,seriouseats,840.0,min,60.0,min,900.0,min,5
https://www.seriouseats.com/recipes/2013/05/roasted-green-grape-rosemary-tarts-recipe.html,Roasted Green Grape Rosemary Tart Recipe,seriouseats,50.0,min,20.0,min,70.0,min,-1
https://www.seriouseats.com/recipes/2014/06/white-chocolate-pistachio-sponge-blondies.html,White Chocolate & Pistachio Sponge Blondies,seriouseats,30.0,min,15.0,min,45.0,min,-1
https://www.seriouseats.com/recipes/2015/01/matcha-green-tea-white-chocolate-popcorn-flavor-recipe.html,Matcha and White Chocolate Popcorn Recipe,seriouseats,10.0,min,10.0,min,20.0,min,-1
https://www.seriouseats.com/recipes/2012/05/lemon-cardamom-syllabub-british-dessert-pudding-recipes.html,Lemon Cardamom Syllabub Recipe,seriouseats,705.0,min,15.0,min,720.0,min,-1
https://www.seriouseats.com/recipes/2011/07/sponge-cake-coffee-almond-brittle-torte-quelque-cristal-recipe.html,Coffee-Almond Brittle Torte Recipe,seriouseats,150.0,min,60.0,min,210.0,min,-1
https://www.seriouseats.com/recipes/2015/07/grilled-tofu-chipotle-miso-recipe.html,Grilled Tofu With Chipotle-Miso Sauce Recipe,seriouseats,60.0,min,60.0,min,120.0,min,5
https://www.seriouseats.com/recipes/2013/02/syllabub-with-rosemary-glazed-figs-recipe.html,Syllabub with Rosemary-Glazed Figs,seriouseats,55.0,min,20.0,min,75.0,min,5
https://www.seriouseats.com/recipes/2011/08/chocolate-crack-chocolate-bark.html,Chocolate 'Crack' Recipe,seriouseats,100.0,min,20.0,min,120.0,min,4.5714285714286
https://www.seriouseats.com/recipes/2011/05/salted-marcona-almond-cookies-recipe-gluten-free-desserts.html,Gluten-Free Tuesday: Salted Marcona Almond Cookies Recipe,seriouseats,260.0,min,40.0,min,300.0,min,-1
https://www.seriouseats.com/recipes/2011/08/scotcheroos-rice-krispies-treats-with-peanut-butter-butterscotch-chocolate-recipe.html,Scotcheroos Recipe,seriouseats,90.0,min,30.0,min,120.0,min,3.6666666666667
https://www.seriouseats.com/recipes/2011/12/maple-bacon-spiced-nuts-recipe.html,Sara Kate Gillingham-Ryan's Maple-Bacon Spiced Nuts,seriouseats,15.0,min,15.0,min,30.0,min,-1
https://www.seriouseats.com/recipes/2013/05/easy-chocolate-pudding-recipe.html,Easy Chocolate Pudding Recipe,seriouseats,0.0,min,20.0,min,20.0,min,-1
https://www.seriouseats.com/recipes/2011/07/salame-ala-diavolo-sandwich-recipe.html,Cook the Book: Salame ala Diavolo,seriouseats,0.0,min,15.0,min,15.0,min,4
https://www.seriouseats.com/recipes/2011/12/kir-rodriguezs-cashew-polvorones-recipe.html,Kir Rodriguez's Cashew Polvorones Recipe,seriouseats,25.0,min,20.0,min,45.0,min,-1
https://www.seriouseats.com/recipes/2012/11/crunchy-french-toast-stuffed-with-nutella-and-banana-recipe.html,Crunchy Stuffed Nutella and Banana French Toast Recipe,seriouseats,0.0,min,15.0,min,15.0,min,-1
https://www.seriouseats.com/recipes/2010/10/roast-cauliflower-and-spinach-salad-with-champagne-vinaigrette-recipe.html,Roast Cauliflower and Spinach Salad with Champagne Vinaigrette Recipe,seriouseats,210.0,min,30.0,min,240.0,min,-1
https://www.seriouseats.com/recipes/2014/10/roasted-broccoli-soup-buttermilk-pepitas-recipe.html,Creamy Roasted-Broccoli Soup With Buttermilk and Spiced Pepitas Recipe,seriouseats,30.0,min,30.0,min,60.0,min,4
